timestamp_utc,experiment,gate,value,threshold,status,note
2026-07-31T22:03:42.921273+00:00,E0_E0b,E0.d_ceiling_k10_RPE1_signed_log1p,0.9274343848228455,>null p95,PASS,RPE1_signed_log1p
2026-07-31T22:03:42.921288+00:00,E0_E0b,E0.e_matched_spectrum_floor_k10_RPE1_signed_log1p,"{""spectrum_rel_error"": 1.258485485668188e-07, ""orthonormality_error"": 2.993282907093331e-07, ""checked_draws"": 3.0}",measured rotation: relative singular error<0.0001 and ||QtQ-I||<0.0001 on >=1 draw,PASS,RPE1_signed_log1p
2026-07-31T22:03:42.921300+00:00,E0_E0b,E0.g_responsive_exceeds_nonresponsive_k10_RPE1_signed_log1p,"{""responsive_exceeds_nonresponsive"": false, ""decision_status"": ""unavailable_insufficient_rows_50_lt_151"", ""metric"": ""status"", ""value"": NaN, ""note"": ""unavailable_insufficient_rows_50_lt_151"", ""blocking_arm"": ""responsive_matched"", ""responsive_available"": false, ""control_available"": false}",n-matched responsive bootstrap CI lower > non-responsive CI upper,OBSERVED,RPE1_signed_log1p
2026-07-31T22:03:42.921303+00:00,E0_E0b,E0.i_normalised_alignment_interpretable_k10_RPE1_signed_log1p,0.9261295480537228,ceiling-null gap > 1e-6 so (observed-null)/(ceiling-null) is interpretable,PASS,RPE1_signed_log1p
2026-07-31T22:03:42.921311+00:00,E0_E0b,E0.i_normalised_alignment_value_k10_RPE1_signed_log1p,"{""normalised"": 0.08113704791736258, ""status"": ""available""}",reported for scale; no pass/fail threshold is predeclared,OBSERVED,RPE1_signed_log1p
2026-07-31T22:03:42.921318+00:00,E0_E0b,G4.1_positive_control_split_half_k25_RPE1_signed_log1p,0.9138863682746887,> same-path heldout matched-null p95,PASS,RPE1_signed_log1p
2026-07-31T22:03:42.921322+00:00,E0_E0b,G4.2_negative_control_rotated_P_k25_RPE1_signed_log1p,0.0032792025012895465,near k/n_genes,PASS,RPE1_signed_log1p
2026-07-31T22:03:42.921332+00:00,E0_E0b,G4.2b_negative_control_gene_shuffle_k25_RPE1_signed_log1p,"{""median"": 0.016463485546410084, ""p95"": 0.01691735228523612, ""p"": 0.000999000999000999}","recorded; near-identical to the Haar null by construction, so not independent corroboration",OBSERVED,RPE1_signed_log1p
2026-07-31T22:03:42.921340+00:00,E0_E0b,G4.3_null_sanity_k25_RPE1_signed_log1p,"{""std"": 0.0001853686490473762, ""p95"": 0.0035867937258444726}",std>0; nondegenerate,PASS,RPE1_signed_log1p
2026-07-31T22:03:42.921350+00:00,E0_E0b,G4.4_heldout_vs_insample_k25_RPE1_signed_log1p,"{""in"": 0.09977102279663086, ""heldout"": 0.09925949946045876}",reported; no fitted mapping,PASS,RPE1_signed_log1p
